ID_Projet,Client,Description,Statut,Date_Début,Jours_écoulés,Etat,Inactivité,Action_suggérée,Type_Action,Email
PRJ-0001,Client_2,Projet de service 1,En cours,2024-06-01,453,En traitement,Oui,Relancer le client,Urgente,aminejemni181@gmail.com
PRJ-0002,Client_3,Projet de service 2,Finalisé,2024-06-04,450,Terminé,Non,Aucune action,Aucune,client_3@gmail.com
PRJ-0003,Client_4,Projet de service 3,En attente,2024-06-07,447,En traitement,Oui,Relancer le client,Urgente,client_4@gmail.com
PRJ-0004,Client_5,Projet de service 4,Suspendu,2024-06-10,444,En traitement,Oui,Relancer le client,Urgente,client_5@gmail.com
PRJ-0005,Client_6,Projet de service 5,En cours,2024-06-13,441,En traitement,Oui,Relancer le client,Urgente,client_6@gmail.com
PRJ-0006,Client_7,Projet de service 6,Finalisé,2024-06-16,438,Terminé,Non,Aucune action,Aucune,client_7@gmail.com
PRJ-0007,Client_8,Projet de service 7,En attente,2024-06-19,435,En traitement,Oui,Relancer le client,Urgente,client_8@gmail.com
PRJ-0008,Client_9,Projet de service 8,Suspendu,2024-06-22,432,En traitement,Oui,Relancer le client,Urgente,client_9@gmail.com
PRJ-0009,Client_10,Projet de service 9,En cours,2024-06-25,429,En traitement,Oui,Relancer le client,Urgente,client_10@gmail.com
PRJ-0010,Client_11,Projet de service 10,Finalisé,2024-06-28,426,Terminé,Non,Aucune action,Aucune,client_11@gmail.com
PRJ-0011,Client_12,Projet de service 11,En attente,2024-07-01,423,En traitement,Oui,Relancer le client,Urgente,client_12@gmail.com
PRJ-0012,Client_13,Projet de service 12,Suspendu,2024-07-04,420,En traitement,Oui,Relancer le client,Urgente,client_13@gmail.com
PRJ-0013,Client_14,Projet de service 13,En cours,2024-07-07,417,En traitement,Oui,Relancer le client,Urgente,client_14@gmail.com
PRJ-0014,Client_15,Projet de service 14,Finalisé,2024-07-10,414,Terminé,Non,Aucune action,Aucune,client_15@gmail.com
PRJ-0015,Client_16,Projet de service 15,En attente,2024-07-13,411,En traitement,Oui,Relancer le client,Urgente,client_16@gmail.com
PRJ-0016,Client_17,Projet de service 16,Suspendu,2024-07-16,408,En traitement,Oui,Relancer le client,Urgente,client_17@gmail.com
PRJ-0017,Client_18,Projet de service 17,En cours,2024-07-19,405,En traitement,Oui,Relancer le client,Urgente,client_18@gmail.com
PRJ-0018,Client_19,Projet de service 18,Finalisé,2024-07-22,402,Terminé,Non,Aucune action,Aucune,client_19@gmail.com
PRJ-0019,Client_20,Projet de service 19,En attente,2024-07-25,399,En traitement,Oui,Relancer le client,Urgente,client_20@gmail.com
PRJ-0020,Client_21,Projet de service 20,Suspendu,2024-07-28,396,En traitement,Oui,Relancer le client,Urgente,client_21@gmail.com
PRJ-0021,Client_22,Projet de service 21,En cours,2024-07-31,393,En traitement,Oui,Relancer le client,Urgente,client_22@gmail.com
PRJ-0022,Client_23,Projet de service 22,Finalisé,2024-08-03,390,Terminé,Non,Aucune action,Aucune,client_23@gmail.com
PRJ-0023,Client_24,Projet de service 23,En attente,2024-08-06,387,En traitement,Oui,Relancer le client,Urgente,client_24@gmail.com
PRJ-0024,Client_25,Projet de service 24,Suspendu,2024-08-09,384,En traitement,Oui,Relancer le client,Urgente,client_25@gmail.com
PRJ-0025,Client_26,Projet de service 25,En cours,2024-08-12,381,En traitement,Oui,Relancer le client,Urgente,client_26@gmail.com
PRJ-0026,Client_27,Projet de service 26,Finalisé,2024-08-15,378,Terminé,Non,Aucune action,Aucune,client_27@gmail.com
PRJ-0027,Client_28,Projet de service 27,En attente,2024-08-18,375,En traitement,Oui,Relancer le client,Urgente,client_28@gmail.com
PRJ-0028,Client_29,Projet de service 28,Suspendu,2024-08-21,372,En traitement,Oui,Relancer le client,Urgente,client_29@gmail.com
PRJ-0029,Client_30,Projet de service 29,En cours,2024-08-24,369,En traitement,Oui,Relancer le client,Urgente,client_30@gmail.com
PRJ-0030,Client_31,Projet de service 30,Finalisé,2024-08-27,366,Terminé,Non,Aucune action,Aucune,client_31@gmail.com
PRJ-0031,Client_32,Projet de service 31,En attente,2024-08-30,363,En traitement,Oui,Relancer le client,Urgente,client_32@gmail.com
PRJ-0032,Client_33,Projet de service 32,Suspendu,2024-09-02,360,En traitement,Oui,Relancer le client,Urgente,client_33@gmail.com
PRJ-0033,Client_34,Projet de service 33,En cours,2024-09-05,357,En traitement,Oui,Relancer le client,Urgente,client_34@gmail.com
PRJ-0034,Client_35,Projet de service 34,Finalisé,2024-09-08,354,Terminé,Non,Aucune action,Aucune,client_35@gmail.com
PRJ-0035,Client_36,Projet de service 35,En attente,2024-09-11,351,En traitement,Oui,Relancer le client,Urgente,client_36@gmail.com
PRJ-0036,Client_37,Projet de service 36,Suspendu,2024-09-14,348,En traitement,Non,Relancer le client,Urgente,client_37@gmail.com
PRJ-0037,Client_38,Projet de service 37,En cours,2024-09-17,345,En traitement,Non,Relancer le client,Urgente,client_38@gmail.com
PRJ-0038,Client_39,Projet de service 38,Finalisé,2024-09-20,342,Terminé,Non,Aucune action,Aucune,client_39@gmail.com
PRJ-0039,Client_40,Projet de service 39,En attente,2024-09-23,339,En traitement,Non,Relancer le client,Urgente,client_40@gmail.com
PRJ-0040,Client_41,Projet de service 40,Suspendu,2024-09-26,336,En traitement,Non,Relancer le client,Urgente,client_41@gmail.com
PRJ-0041,Client_42,Projet de service 41,En cours,2024-09-29,333,En traitement,Non,Relancer le client,Urgente,client_42@gmail.com
PRJ-0042,Client_43,Projet de service 42,Finalisé,2024-10-02,330,Terminé,Non,Aucune action,Aucune,client_43@gmail.com
PRJ-0043,Client_44,Projet de service 43,En attente,2024-10-05,327,En traitement,Non,Relancer le client,Urgente,client_44@gmail.com
PRJ-0044,Client_45,Projet de service 44,Suspendu,2024-10-08,324,En traitement,Non,Relancer le client,Urgente,client_45@gmail.com
PRJ-0045,Client_46,Projet de service 45,En cours,2024-10-11,321,En traitement,Non,Relancer le client,Urgente,client_46@gmail.com
PRJ-0046,Client_47,Projet de service 46,Finalisé,2024-10-14,318,Terminé,Non,Aucune action,Aucune,client_47@gmail.com
PRJ-0047,Client_48,Projet de service 47,En attente,2024-10-17,315,En traitement,Non,Relancer le client,Urgente,client_48@gmail.com
PRJ-0048,Client_49,Projet de service 48,Suspendu,2024-10-20,312,En traitement,Non,Relancer le client,Urgente,client_49@gmail.com
PRJ-0049,Client_50,Projet de service 49,En cours,2024-10-23,309,En traitement,Non,Relancer le client,Urgente,client_50@gmail.com
PRJ-0050,Client_51,Projet de service 50,Finalisé,2024-10-26,306,Terminé,Non,Aucune action,Aucune,client_51@gmail.com
PRJ-0051,Client_52,Projet de service 51,En attente,2024-10-29,303,En traitement,Non,Relancer le client,Urgente,client_52@gmail.com
PRJ-0052,Client_53,Projet de service 52,Suspendu,2024-11-01,300,En traitement,Non,Relancer le client,Urgente,client_53@gmail.com
PRJ-0053,Client_54,Projet de service 53,En cours,2024-11-04,297,En traitement,Non,Relancer le client,Urgente,client_54@gmail.com
PRJ-0054,Client_55,Projet de service 54,Finalisé,2024-11-07,294,Terminé,Non,Aucune action,Aucune,client_55@gmail.com
PRJ-0055,Client_56,Projet de service 55,En attente,2024-11-10,291,En traitement,Non,Relancer le client,Urgente,client_56@gmail.com
PRJ-0056,Client_57,Projet de service 56,Suspendu,2024-11-13,288,En traitement,Non,Relancer le client,Urgente,client_57@gmail.com
PRJ-0057,Client_58,Projet de service 57,En cours,2024-11-16,285,En traitement,Non,Relancer le client,Urgente,client_58@gmail.com
PRJ-0058,Client_59,Projet de service 58,Finalisé,2024-11-19,282,Terminé,Non,Aucune action,Aucune,client_59@gmail.com
PRJ-0059,Client_60,Projet de service 59,En attente,2024-11-22,279,En traitement,Non,Relancer le client,Urgente,client_60@gmail.com
PRJ-0060,Client_61,Projet de service 60,Suspendu,2024-11-25,276,En traitement,Non,Relancer le client,Urgente,client_61@gmail.com
PRJ-0061,Client_62,Projet de service 61,En cours,2024-11-28,273,En traitement,Non,Relancer le client,Urgente,client_62@gmail.com
PRJ-0062,Client_63,Projet de service 62,Finalisé,2024-12-01,270,Terminé,Non,Aucune action,Aucune,client_63@gmail.com
PRJ-0063,Client_64,Projet de service 63,En attente,2024-12-04,267,En traitement,Non,Relancer le client,Urgente,client_64@gmail.com
PRJ-0064,Client_65,Projet de service 64,Suspendu,2024-12-07,264,En traitement,Non,Relancer le client,Urgente,client_65@gmail.com
PRJ-0065,Client_66,Projet de service 65,En cours,2024-12-10,261,En traitement,Non,Relancer le client,Urgente,client_66@gmail.com
PRJ-0066,Client_67,Projet de service 66,Finalisé,2024-12-13,258,Terminé,Non,Aucune action,Aucune,client_67@gmail.com
PRJ-0067,Client_68,Projet de service 67,En attente,2024-12-16,255,En traitement,Non,Relancer le client,Urgente,client_68@gmail.com
PRJ-0068,Client_69,Projet de service 68,Suspendu,2024-12-19,252,En traitement,Non,Relancer le client,Urgente,client_69@gmail.com
PRJ-0069,Client_70,Projet de service 69,En cours,2024-12-22,249,En traitement,Non,Relancer le client,Urgente,client_70@gmail.com
PRJ-0070,Client_71,Projet de service 70,Finalisé,2024-12-25,246,Terminé,Non,Aucune action,Aucune,client_71@gmail.com
PRJ-0071,Client_72,Projet de service 71,En attente,2024-12-28,243,En traitement,Non,Relancer le client,Urgente,client_72@gmail.com
PRJ-0072,Client_73,Projet de service 72,Suspendu,2024-12-31,240,En traitement,Non,Relancer le client,Urgente,client_73@gmail.com
